path,valence
../mel_spectrograms\spectrogram_0.npy,1.25
../mel_spectrograms\spectrogram_1.npy,3.5
../mel_spectrograms\spectrogram_2.npy,3.25
../mel_spectrograms\spectrogram_3.npy,3.75
../mel_spectrograms\spectrogram_4.npy,3.5
../mel_spectrograms\spectrogram_5.npy,3.75
../mel_spectrograms\spectrogram_6.npy,2.0
../mel_spectrograms\spectrogram_7.npy,3.5
../mel_spectrograms\spectrogram_8.npy,3.75
../mel_spectrograms\spectrogram_9.npy,3.75
../mel_spectrograms\spectrogram_10.npy,2.75
../mel_spectrograms\spectrogram_11.npy,3.25
../mel_spectrograms\spectrogram_12.npy,2.25
../mel_spectrograms\spectrogram_13.npy,3.0
../mel_spectrograms\spectrogram_14.npy,2.25
../mel_spectrograms\spectrogram_15.npy,4.25
../mel_spectrograms\spectrogram_16.npy,4.25
../mel_spectrograms\spectrogram_17.npy,1.0
../mel_spectrograms\spectrogram_18.npy,3.25
../mel_spectrograms\spectrogram_19.npy,1.5
../mel_spectrograms\spectrogram_20.npy,3.25
../mel_spectrograms\spectrogram_21.npy,1.75
../mel_spectrograms\spectrogram_22.npy,3.5
../mel_spectrograms\spectrogram_23.npy,1.0
../mel_spectrograms\spectrogram_24.npy,4.75
../mel_spectrograms\spectrogram_25.npy,3.5
../mel_spectrograms\spectrogram_26.npy,2.0
../mel_spectrograms\spectrogram_27.npy,3.25
../mel_spectrograms\spectrogram_28.npy,3.0
../mel_spectrograms\spectrogram_29.npy,3.0
../mel_spectrograms\spectrogram_30.npy,4.25
../mel_spectrograms\spectrogram_31.npy,4.25
../mel_spectrograms\spectrogram_32.npy,3.75
../mel_spectrograms\spectrogram_33.npy,2.25
../mel_spectrograms\spectrogram_34.npy,3.5
../mel_spectrograms\spectrogram_35.npy,3.25
../mel_spectrograms\spectrogram_36.npy,2.0
../mel_spectrograms\spectrogram_37.npy,1.75
../mel_spectrograms\spectrogram_38.npy,3.75
../mel_spectrograms\spectrogram_39.npy,2.25
../mel_spectrograms\spectrogram_40.npy,3.5
../mel_spectrograms\spectrogram_41.npy,3.75
../mel_spectrograms\spectrogram_42.npy,3.75
../mel_spectrograms\spectrogram_43.npy,4.0
../mel_spectrograms\spectrogram_44.npy,3.25
../mel_spectrograms\spectrogram_45.npy,3.0
../mel_spectrograms\spectrogram_46.npy,2.25
../mel_spectrograms\spectrogram_47.npy,3.75
../mel_spectrograms\spectrogram_48.npy,4.25
../mel_spectrograms\spectrogram_49.npy,4.0
../mel_spectrograms\spectrogram_50.npy,3.25
../mel_spectrograms\spectrogram_51.npy,4.25
../mel_spectrograms\spectrogram_52.npy,4.0
../mel_spectrograms\spectrogram_53.npy,2.5
../mel_spectrograms\spectrogram_54.npy,4.0
../mel_spectrograms\spectrogram_55.npy,2.25
../mel_spectrograms\spectrogram_56.npy,1.0
../mel_spectrograms\spectrogram_57.npy,1.25
../mel_spectrograms\spectrogram_58.npy,1.5
../mel_spectrograms\spectrogram_59.npy,4.25
../mel_spectrograms\spectrogram_60.npy,3.5
../mel_spectrograms\spectrogram_61.npy,3.5
../mel_spectrograms\spectrogram_62.npy,2.0
../mel_spectrograms\spectrogram_63.npy,1.25
../mel_spectrograms\spectrogram_64.npy,4.25
../mel_spectrograms\spectrogram_65.npy,4.0
../mel_spectrograms\spectrogram_66.npy,1.75
../mel_spectrograms\spectrogram_67.npy,1.25
../mel_spectrograms\spectrogram_68.npy,3.0
../mel_spectrograms\spectrogram_69.npy,3.5
../mel_spectrograms\spectrogram_70.npy,1.25
../mel_spectrograms\spectrogram_71.npy,2.75
../mel_spectrograms\spectrogram_72.npy,1.0
../mel_spectrograms\spectrogram_73.npy,3.75
../mel_spectrograms\spectrogram_74.npy,4.0
../mel_spectrograms\spectrogram_75.npy,4.25
../mel_spectrograms\spectrogram_76.npy,3.0
../mel_spectrograms\spectrogram_77.npy,3.5
../mel_spectrograms\spectrogram_78.npy,3.75
../mel_spectrograms\spectrogram_79.npy,1.25
../mel_spectrograms\spectrogram_80.npy,3.0
../mel_spectrograms\spectrogram_81.npy,3.75
../mel_spectrograms\spectrogram_82.npy,3.0
../mel_spectrograms\spectrogram_83.npy,4.75
../mel_spectrograms\spectrogram_84.npy,2.0
../mel_spectrograms\spectrogram_85.npy,1.25
../mel_spectrograms\spectrogram_86.npy,3.5
../mel_spectrograms\spectrogram_87.npy,2.5
../mel_spectrograms\spectrogram_88.npy,1.5
../mel_spectrograms\spectrogram_89.npy,1.5
../mel_spectrograms\spectrogram_90.npy,4.25
../mel_spectrograms\spectrogram_91.npy,3.25
../mel_spectrograms\spectrogram_92.npy,1.5
../mel_spectrograms\spectrogram_93.npy,5.0
../mel_spectrograms\spectrogram_94.npy,3.0
../mel_spectrograms\spectrogram_95.npy,2.5
../mel_spectrograms\spectrogram_96.npy,2.25
../mel_spectrograms\spectrogram_97.npy,3.75
../mel_spectrograms\spectrogram_98.npy,4.5
../mel_spectrograms\spectrogram_99.npy,3.75
../mel_spectrograms\spectrogram_100.npy,2.75
../mel_spectrograms\spectrogram_101.npy,4.5
../mel_spectrograms\spectrogram_102.npy,3.0
../mel_spectrograms\spectrogram_103.npy,2.75
../mel_spectrograms\spectrogram_104.npy,3.0
../mel_spectrograms\spectrogram_105.npy,3.75
../mel_spectrograms\spectrogram_106.npy,4.0
../mel_spectrograms\spectrogram_107.npy,1.75
../mel_spectrograms\spectrogram_108.npy,2.5
../mel_spectrograms\spectrogram_109.npy,3.75
../mel_spectrograms\spectrogram_110.npy,3.0
../mel_spectrograms\spectrogram_111.npy,4.25
../mel_spectrograms\spectrogram_112.npy,4.5
../mel_spectrograms\spectrogram_113.npy,3.5
../mel_spectrograms\spectrogram_114.npy,2.25
../mel_spectrograms\spectrogram_115.npy,4.0
../mel_spectrograms\spectrogram_116.npy,1.75
../mel_spectrograms\spectrogram_117.npy,2.0
../mel_spectrograms\spectrogram_118.npy,2.75
../mel_spectrograms\spectrogram_119.npy,2.75
../mel_spectrograms\spectrogram_120.npy,2.5
../mel_spectrograms\spectrogram_121.npy,4.0
../mel_spectrograms\spectrogram_122.npy,1.5
../mel_spectrograms\spectrogram_123.npy,1.75
../mel_spectrograms\spectrogram_124.npy,4.75
../mel_spectrograms\spectrogram_125.npy,4.0
../mel_spectrograms\spectrogram_126.npy,4.0
../mel_spectrograms\spectrogram_127.npy,2.5
../mel_spectrograms\spectrogram_128.npy,3.0
../mel_spectrograms\spectrogram_129.npy,3.25
../mel_spectrograms\spectrogram_130.npy,4.0
../mel_spectrograms\spectrogram_131.npy,3.25
../mel_spectrograms\spectrogram_132.npy,2.25
../mel_spectrograms\spectrogram_133.npy,3.25
../mel_spectrograms\spectrogram_134.npy,2.25
../mel_spectrograms\spectrogram_135.npy,2.0
../mel_spectrograms\spectrogram_136.npy,2.25
../mel_spectrograms\spectrogram_137.npy,3.0
../mel_spectrograms\spectrogram_138.npy,3.75
../mel_spectrograms\spectrogram_139.npy,3.0
../mel_spectrograms\spectrogram_140.npy,3.25
../mel_spectrograms\spectrogram_141.npy,1.75
../mel_spectrograms\spectrogram_142.npy,2.5
../mel_spectrograms\spectrogram_143.npy,3.0
../mel_spectrograms\spectrogram_144.npy,2.0
../mel_spectrograms\spectrogram_145.npy,3.75
../mel_spectrograms\spectrogram_146.npy,2.75
../mel_spectrograms\spectrogram_147.npy,4.0
../mel_spectrograms\spectrogram_148.npy,3.25
../mel_spectrograms\spectrogram_149.npy,2.5
../mel_spectrograms\spectrogram_150.npy,3.75
../mel_spectrograms\spectrogram_151.npy,3.25
../mel_spectrograms\spectrogram_152.npy,3.5
../mel_spectrograms\spectrogram_153.npy,4.0
../mel_spectrograms\spectrogram_154.npy,2.5
../mel_spectrograms\spectrogram_155.npy,3.5
../mel_spectrograms\spectrogram_156.npy,4.5
../mel_spectrograms\spectrogram_157.npy,2.5
../mel_spectrograms\spectrogram_158.npy,3.5
../mel_spectrograms\spectrogram_159.npy,4.25
../mel_spectrograms\spectrogram_160.npy,1.75
../mel_spectrograms\spectrogram_161.npy,3.75
../mel_spectrograms\spectrogram_162.npy,1.0
../mel_spectrograms\spectrogram_163.npy,4.0
../mel_spectrograms\spectrogram_164.npy,4.25
../mel_spectrograms\spectrogram_165.npy,2.0
../mel_spectrograms\spectrogram_166.npy,3.0
../mel_spectrograms\spectrogram_167.npy,2.75
../mel_spectrograms\spectrogram_168.npy,3.75
../mel_spectrograms\spectrogram_169.npy,2.0
../mel_spectrograms\spectrogram_170.npy,3.75
../mel_spectrograms\spectrogram_171.npy,2.25
../mel_spectrograms\spectrogram_172.npy,4.0
../mel_spectrograms\spectrogram_173.npy,3.5
../mel_spectrograms\spectrogram_174.npy,2.75
../mel_spectrograms\spectrogram_175.npy,1.25
../mel_spectrograms\spectrogram_176.npy,3.25
../mel_spectrograms\spectrogram_177.npy,2.25
../mel_spectrograms\spectrogram_178.npy,3.0
../mel_spectrograms\spectrogram_179.npy,3.0
../mel_spectrograms\spectrogram_180.npy,2.75
../mel_spectrograms\spectrogram_181.npy,3.75
../mel_spectrograms\spectrogram_182.npy,4.0
../mel_spectrograms\spectrogram_183.npy,4.5
../mel_spectrograms\spectrogram_184.npy,3.75
../mel_spectrograms\spectrogram_185.npy,2.0
../mel_spectrograms\spectrogram_186.npy,3.0
../mel_spectrograms\spectrogram_187.npy,3.0
../mel_spectrograms\spectrogram_188.npy,3.25
../mel_spectrograms\spectrogram_189.npy,3.5
../mel_spectrograms\spectrogram_190.npy,2.5
../mel_spectrograms\spectrogram_191.npy,3.5
../mel_spectrograms\spectrogram_192.npy,2.75
../mel_spectrograms\spectrogram_193.npy,2.5
../mel_spectrograms\spectrogram_194.npy,2.5
../mel_spectrograms\spectrogram_195.npy,2.75
../mel_spectrograms\spectrogram_196.npy,3.5
../mel_spectrograms\spectrogram_197.npy,2.75
../mel_spectrograms\spectrogram_198.npy,3.75
../mel_spectrograms\spectrogram_199.npy,2.75
../mel_spectrograms\spectrogram_200.npy,2.0
../mel_spectrograms\spectrogram_201.npy,4.0
../mel_spectrograms\spectrogram_202.npy,1.25
../mel_spectrograms\spectrogram_203.npy,3.25
../mel_spectrograms\spectrogram_204.npy,2.25
../mel_spectrograms\spectrogram_205.npy,2.5
../mel_spectrograms\spectrogram_206.npy,3.75
../mel_spectrograms\spectrogram_207.npy,3.5
../mel_spectrograms\spectrogram_208.npy,3.0
../mel_spectrograms\spectrogram_209.npy,4.25
../mel_spectrograms\spectrogram_210.npy,3.25
../mel_spectrograms\spectrogram_211.npy,3.0
../mel_spectrograms\spectrogram_212.npy,4.25
../mel_spectrograms\spectrogram_213.npy,3.75
../mel_spectrograms\spectrogram_214.npy,4.0
../mel_spectrograms\spectrogram_215.npy,3.25
../mel_spectrograms\spectrogram_216.npy,3.5
../mel_spectrograms\spectrogram_217.npy,3.5
../mel_spectrograms\spectrogram_218.npy,4.25
../mel_spectrograms\spectrogram_219.npy,1.5
../mel_spectrograms\spectrogram_220.npy,1.75
../mel_spectrograms\spectrogram_221.npy,3.0
../mel_spectrograms\spectrogram_222.npy,2.0
../mel_spectrograms\spectrogram_223.npy,3.0
../mel_spectrograms\spectrogram_224.npy,3.25
../mel_spectrograms\spectrogram_225.npy,3.25
../mel_spectrograms\spectrogram_226.npy,4.25
../mel_spectrograms\spectrogram_227.npy,3.75
../mel_spectrograms\spectrogram_228.npy,1.0
../mel_spectrograms\spectrogram_229.npy,4.0
../mel_spectrograms\spectrogram_230.npy,3.0
../mel_spectrograms\spectrogram_231.npy,1.25
../mel_spectrograms\spectrogram_232.npy,4.25
../mel_spectrograms\spectrogram_233.npy,2.0
../mel_spectrograms\spectrogram_234.npy,2.25
../mel_spectrograms\spectrogram_235.npy,4.5
../mel_spectrograms\spectrogram_236.npy,4.75
../mel_spectrograms\spectrogram_237.npy,4.0
../mel_spectrograms\spectrogram_238.npy,2.5
../mel_spectrograms\spectrogram_239.npy,4.25
../mel_spectrograms\spectrogram_240.npy,3.75
../mel_spectrograms\spectrogram_241.npy,3.75
../mel_spectrograms\spectrogram_242.npy,3.5
../mel_spectrograms\spectrogram_243.npy,1.75
../mel_spectrograms\spectrogram_244.npy,4.0
../mel_spectrograms\spectrogram_245.npy,3.75
../mel_spectrograms\spectrogram_246.npy,2.0
